mod_id,id,sex,Country_fatefile,territory,Revir_Vinter,Autumn,Spring,Fate,confirmed.illegal,Radio.collar,Comment,geometry,NAME_1,NAME_2,KommunerNamn,SLU.ID,ruggedness_mean,average_gravel_km,average_paved_km,artificial_area_total,pop_mean,mean_snow,hunt_afo,hunt_county2,Fi,number_neighbour_terr,bear_density_BZtiff,mean_fi,max_fi,wolfLKill_cumall,wolfLKill_last5y,wolfLKill_n,NoAffectedSheep_cumall,NoAffectedSheep_last5y,NoAffectedSheep,sheepAttacks_n,AttackDogs_cumall,AttackDogs_last5y,AttackDogs_n,IndividualIncome,income_prop,year_average,first_yeardet,last_yeardet,years_firstdet,time_start,time_end
5,G35-16,M,N,Aurskog 5,Aurskog_1920,2019,2020,NA,NA,0,NA,list(),Akershus,Aurskog-Høland,NA,G35-16,0.335,1.18,0.61,0.00149,76.254,79.1380952380952,160.1,1.8,0.3106,4,1.82e-5,0.299038,0.3106,0,0,0,0,0,0,0,0,0,0,443400,1.4591160442059028,303882.6156156156,2018,2019,1,1,2
6,G80-17,F,N,Aurskog 5,Aurskog_1920,2019,2020,illegal,NA,0,NA,list(),Akershus,Aurskog-Høland,NA,G80-17,0.335,1.18,0.61,0.00149,76.254,79.1380952380952,160.1,1.8,0.287476,4,1.82e-5,0.299038,0.3106,0,0,0,0,0,0,0,0,0,0,443400,1.4591160442059028,303882.6156156156,2018,2019,1,1,2
137,G35-16,M,N,Aurskog 5,Aurskog_1819,2018,2019,NA,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G35-16,0.353,1.06,0.7,0.00149,153.698,82.0555555555556,140.7,2,0.3106,4,1.18e-6,0.299038,0.3106,0,0,0,0,0,0,0,0,0,0,424300,1.4087591174648117,301187.04804804805,2018,2019,0,0,1
138,G80-17,F,N,Aurskog 5,Aurskog_1819,2018,2019,NA,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G80-17,0.353,1.06,0.7,0.00149,153.698,82.0555555555556,140.7,2,0.287476,4,1.18e-6,0.299038,0.3106,0,0,0,0,0,0,0,0,0,0,424300,1.4087591174648117,301187.04804804805,2018,2019,0,0,1
229,G175-17,F,N,Sotsjöen 1,Sotsjøen_1819,2018,2019,illegal,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G175-17,0.326,1.58,0.44,0,9.592,83.1818181818182,138.2,2.1,0.218197,5,1.3e-6,0.212573,0.218197,0,0,0,0,0,0,0,0,0,0,424300,1.4087591174648117,301187.04804804805,2018,2018,0,0,1
230,G58-17,M,N,Sotsjöen 1,Sotsjøen_1819,2018,2019,censored,NA,0,"moved to new territory, Skilingmark 3, in Sweden",list(),Akershus,Aurskog-Høland,aurskog-høland,G58-17,0.326,1.58,0.44,0,9.592,83.1818181818182,138.2,2.1,0.206949,5,1.3e-6,0.212573,0.218197,0,0,0,0,0,0,0,0,0,0,424300,1.4087591174648117,301187.04804804805,2018,2018,0,0,1
402,G107-16,M,N,Aurskog 4,Aurskog_1617,2016,2017,illegal,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G107-16,0.353,1.06,0.7,0.00149,149.427,70.8352941176471,141.9,2.1,0.3106,3,7.4e-6,0.301937,0.3106,0,0,0,0,0,0,0,0,0,0,400700,1.36710630737643,293100.83483483485,2015,2016,1,1,2
403,G170-15,F,N,Aurskog 4,Aurskog_1617,2016,2017,illegal,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G170-15,0.353,1.06,0.7,0.00149,149.427,70.8352941176471,141.9,2.1,0.293274,3,7.4e-6,0.301937,0.3106,0,0,0,0,0,0,0,0,0,0,400700,1.36710630737643,293100.83483483485,2015,2016,1,1,2
547,G107-16,M,N,Aurskog 4,Aurskog_1516,2015,2016,NA,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G107-16,0.339,1.13,0.67,0.00149,72.368,65.296875,233.4,2.4,0.3106,3,1.44e-5,0.301937,0.3106,0,0,0,0,0,0,0,0,0,0,392600,1.3711190677399678,286335.45345345343,2015,2016,0,0,1
548,G170-15,F,N,Aurskog 4,Aurskog_1516,2015,2016,NA,NA,0,NA,list(),Akershus,Aurskog-Høland,aurskog-høland,G170-15,0.339,1.13,0.67,0.00149,72.368,65.296875,233.4,2.4,0.293274,3,1.44e-5,0.301937,0.3106,0,0,0,0,0,0,0,0,0,0,392600,1.3711190677399678,286335.45345345343,2015,2016,0,0,1
