NAME_2;disappearance;n_territories_without_disap;n_territories;prop_disappearance;mean_ruggedness;average_gravel_km;average_paved_km;pop_mean;mean_snow;mean_artificial_area_total;hunt_county2;mean_fi;mean_maxfi;mean_number_neighbour_terr;mean_bear_density_BZtiff;sum_wolfLKill_n;sum_wolfLKill_last5y;sum_sheepAttacks_n;sum_NoAffectedSheep_last5y;sum_AttackDogs_n;sum_AttackDogs_last5y;mean_IndividualIncome;mean_income_prop;n;mean_ruggedness_sc;average_gravel_km_sc;average_paved_km_sc;pop_mean_sc;mean_snow_sc;mean_artificial_area_total_sc;hunt_county2_sc;mean_fi_sc;mean_maxfi_sc;mean_bear_density_BZtiff_sc;mean_IndividualIncome_sc;mean_income_prop_sc
Arboga;0;1;1;0,0000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aremark;1;2;3;0,3333333333333333;0,412000000000000;1,11000000000000;0,380000000000000;14,19100000000000;83,2365591397849;0,000000000000000000;3,40000000000000;0,327698000000000;0,398438000000000;2,000000000000000;0,00000000000000e+00;0;0;0;0;0;0;321500,000000000;1,249063373100076;1;1,5389357249833671;-0,5216275701852295;0,0774442883859482;-0,29822572762369653;0,9550248168254771;-0,64392145541856749;1,8887468581470128;1,7985899801890297;2,3411796711945274;-0,59095631070111543;0,7767490491846482;1,40984134412375450
Arvika;7;18;25;0,2800000000000000;0,395000000000000;1,26142857142857;0,327142857142857;12,05685714285714;72,6289316534276;0,001827142857142857;2,27142857142857;0,242924285714286;0,266907285714286;2,857142857142857;3,39142857142857e-05;3;13;2;42;2;14;271452,285714286;0,941171901372817;7;1,3570927242960322;0,0881858551136128;-0,1992949047050238;-0,35342755061211034;-0,1429537807837970;-0,38822923384977348;-0,7535375540230743;0,2635034608472039;-0,0994378502300784;-0,55063858501692042;-0,1470764151790684;-0,36826865765734035
Askersund;1;3;4;0,2500000000000000;0,219000000000000;1,38000000000000;0,380000000000000;15,95000000000000;52,9583333333333;0,004200000000000000;2,70000000000000;NA;NA;0,000000000000000;0,00000000000000e+00;0;0;1;4;0;0;266059,000000000;0,962352080058697;1;-0,5255171651728511;0,5656812730362918;0,0774442883859482;-0,25272736451663863;-2,1790260302486320;-0,05616920255519430;0,2498615898389847;NA;NA;-0,59095631070111543;-0,2466305057215894;-0,24595059749932938
Aurskog-Høland;5;7;12;0,4166666666666667;0,322200000000000;1,41400000000000;0,510000000000000;44,70540000000000;77,0678673899630;0,000666000000000000;2,80000000000000;0,226238800000000;0,233542600000000;2,000000000000000;1,96000000000000e-06;0;0;0;0;0;0;348300,000000000;1,284745203037555;5;0,5783768154702666;0,7026016458864095;0,7580731146367169;0,49106094161678571;0,3165133753872860;-0,55072074103594693;0,4839880567401308;-0,0386381216525836;-0,7185361117526742;-0,58862623826477534;1,2714474145006989;1,61590817130072328
Bengtsfors;0;2;2;0,0000000000000000;0,447000000000000;1,18000000000000;0,350000000000000;14,25000000000000;66,5156250000000;0,000590000000000000;2,50000000000000;0,193729500000000;0,218197000000000;3,000000000000000;0,00000000000000e+00;0;0;0;0;0;2;261258,000000000;0,859733287048141;1;1,9133183734572929;-0,2397326849055763;-0,0796239022873063;-0,29669963130572247;-0,7757323992560908;-0,56135625799252220;-0,2183913439633097;-0,6273180987389353;-1,0032813170088222;-0,59095631070111543;-0,3352516569112297;-0,83858637659102608
Berg;0;4;4;0,0000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bollnäs;1;21;22;0,0454545454545455;0,205000000000000;1,24500000000000;0,225000000000000;15,18650000000000;79,4217171717172;0,000560000000000000;3,05000000000000;0,251732250000000;0,320557000000000;3,500000000000000;2,53907000000000e-03;0;2;0;114;1;4;253391,000000000;0,908189026073175;2;-0,6752702245624211;0,0220268514255316;-0,7340746967591992;-0,27247608551279484;0,5601566109437146;-0,56555448837011779;1,0693042239929982;0,4229985042314566;0,8960591590898166;2,42752176120614438;-0,4804677778045645;-0,55874869963052043
Borlänge;0;3;3;0,0000000000000000;0,207000000000000;1,54000000000000;0,490000000000000;35,92500000000000;71,2395833333333;0,018759999999999999;2,40000000000000;0,104194500000000;0,141052000000000;1,000000000000000;1,29986000000000e-03;0;0;0;3;0;2;288749,000000000;0,970133344655021;1;-0,6538769303639114;1,2100124393897869;0,6533609875212139;0,26394677025509644;-0,2867630088180491;1,98137194070449940;-0,4525178108644569;-2,2486222101294135;-2,4347449847367382;0,95433346333007318;0,1722018043165147;-0,20101286561734333
Bräcke;0;1;1;0,0000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
