"NAME_2","NAME_1","sum_fate","n_territories","prop_disappearance","ruggedness_mean","average_gravel_km","average_paved_km","pop_mean","mean_snow","mean_artificial_area_total","mean_hunt_county2","mean_fi","mean_maxfi","mean_number_neighbour_terr","mean_bear_density_BZtiff","sum_wolfLKill_n","sum_sheepAttacks_n","sum_AttackDogs_n","mean_IndividualIncome"
"Arboga","Västmanland",0,1,0,0.209,1.45,0.52,0.159174891116915,55.2760416666667,0.00857,-0.923463858510223,0.93248549966104,0.319611,2,-0.518250821811674,-0.417567745744355,0,-0.307306854657047,274870
"Aremark","Ãstfold",1,3,0.333333333333333,0.385,1.23333333333333,0.453333333333333,-0.300698542008334,74.0044802867383,0.000766666666666667,0.738536470804291,0.130464890110766,0.269957333333333,0.666666666666667,-0.51904876890844,-0.417567745744355,0,-0.351347645929554,369400
"Arvika","Värmland",8,27,0.296296296296296,0.400333333333333,1.18074074074074,0.312962962962963,-0.443332448226351,72.2483747224741,0.00221962962962963,0.251687889489938,-0.259614798546806,0.262024925925926,2.22222222222222,-0.495328119345705,1.09563647048519,11,0.441386596975567,261054.925925926
"Askersund","Orebro",1,5,0.2,0.2226,1.41,0.384,-0.369985866422385,64.3874945927574,0.004392,0.0737363390784855,NA,NA,0.2,-0.51904876890844,-0.417567745744355,6,-0.351347645929554,270334.8
"Aurskog-Høland","Akershus",6,15,0.4,0.3272,1.37933333333333,0.543333333333333,0.343401797350823,NA,0.000718666666666667,0.542118250067121,-0.524820745316635,0.230929733333333,1.8,-0.502998366370214,NA,0,-0.351347645929554,323193.333333333
"Bollnäs","Gävleborg",2,23,0.0869565217391304,0.206217391304348,1.21478260869565,0.208695652173913,-0.399023401281153,81.9552346905654,0.00021,0.643283487503656,-0.192919246606717,0.250573260869565,1.52173913043478,2.1591708847304,1.3982773137311,10,0.221182640613034,242916.913043478
"Borlänge","Dalarna",1,3,0.333333333333333,0.242,1.42,0.373333333333333,-0.0704868503695859,74.6955770944742,0.0106933333333333,-0.696827449967335,1.15643705244495,0.333476,2.33333333333333,0.870774420294593,-0.417567745744355,1,-0.351347645929554,278861.333333333
"Dals-Ed","Västra Götaland",1,10,0.1,0.3915,1.19,0.381,-0.345370481293912,61.7177958007494,0.002067,1.43355479033581,-0.449037951930426,0.2340799,0.1,-0.51904876890844,-0.417567745744355,15,-0.26326606338454,213899.3
"Degerfors","Orebro",2,8,0.25,0.1655,1.33125,0.34375,-0.279541448069812,65.5381623771448,0.0036675,1.76784349293658,2.00716019269966,0.386144875,0.75,-0.51904876890844,-0.266247324121401,2,-0.219225272112033,243917.875
"Eda","Värmland",3,9,0.333333333333333,0.322111111111111,1.34555555555556,0.471111111111111,-0.483088017888608,72.0837290919952,0.00170666666666667,0.285263653718514,-0.72177320069484,0.242681444444444,2.66666666666667,-0.499767380581905,-0.114926902498446,8,-0.351347645929554,246957.555555556
