"NAME_2","NAME_1","Autumn","sum_fate","n_territories","prop_disappearance","ruggedness_mean","average_gravel_km","average_paved_km","pop_mean","mean_snow","mean_artificial_area_total","hunt_county2","mean_fi","mean_maxfi","mean_number_neighbour_terr","mean_bear_density_BZtiff","wolfLKill_n","wolfLKill_last5y","sheepAttacks_n","NoAffectedSheep_last5y","AttackDogs_n","AttackDogs_last5y","IndividualIncome"
"Arboga","Västmanland",2017,0,1,0,0.209,1.45,0.52,NA,55.2760416666667,0.00857,NA,NA,0.319611,2,NA,NA,0,NA,0,NA,1,274870
"Aremark","Ãstfold",2010,1,1,1,0.412,1.11,0.38,-0.585464606921849,83.2365591397849,0,0.725866186311297,0.920289565453895,0.398438,2,NA,NA,0,NA,0,NA,0,321500
"Aremark","Ãstfold",2011,0,1,0,0.382,1.28,0.49,-0.569197737511883,80.3888888888889,0.00148,0.41478067789217,0.143842250898371,0.290039,0,NA,NA,0,NA,0,NA,0,352500
"Aremark","Ãstfold",2019,0,1,0,0.361,1.31,0.49,1.15466234443373,58.3879928315412,0.00082,-1.14064686420347,-1.06413181635227,0.121395,0,NA,NA,0,NA,0,NA,0,434200
"Arvika","Värmland",2000,0,1,0,0.398,1,0.22,-0.124222851945346,55.3468077956989,0.00075,2.37601841551115,-0.37217636147086,0.234375,0,-0.667344002847652,-0.5,0,-0.67700320038633,0,-0.88894875277345,0,207146
"Arvika","Värmland",2007,0,1,0,0.413,1.08,0.32,0.360705324853617,67.6458333333333,0,0.510732930436977,0.509946709085761,0.267578,1,-0.606310565670814,-0.5,0,-0.67700320038633,0,2.31126675721097,5,236473
"Arvika","Värmland",2008,1,2,0.5,0.414,1.13,0.39,-0.0132151970154621,70.2843137254902,0.00554,0.155440457089515,1.13262416191143,0.314453,1,0.843341782593225,0.5,1,-0.67700320038633,0,0.17778975055469,5,240468
"Arvika","Värmland",2009,0,1,0,0.397,1.06,0.22,-0.645875365713594,82.9315476190476,0.00122,0.510732930436977,1.5282817178029,0.305908,0,-0.667344002847652,-0.5,1,1.35400640077266,1,1.24452825388283,7,242071
"Arvika","Värmland",2012,1,2,0.5,0.409,1.16,0.37,-0.207687254148265,70.1586021505376,0.00582,0.866025403784439,-0.575683957786365,0.299805,1,-0.667344002847652,-0.5,2,-0.67700320038633,6,-0.88894875277345,3,246386
"Arvika","Värmland",2013,0,4,0,0.39475,1.23,0.3375,-0.574095979819083,81.6666666666667,0.0016875,0.24426357542638,0.202666179192141,0.256012,2.75,-0.568759851663079,-0.5,1,1.35400640077266,7,0.17778975055469,3,251359
"Arvika","Värmland",2014,0,2,0,0.409,1.125,0.28,2.70313377267856,64.7835113030086,0.002995,-0.377498252931678,-0.630001357351255,0.2984925,2.5,-0.557830104934603,-0.5,1,-0.67700320038633,6,-0.88894875277345,1,256408
"Arvika","Värmland",2015,3,5,0.6,0.3988,1.288,0.338,-0.288647724285097,70.3186720811721,0.002522,-0.999260081289737,-0.244072846077375,0.2391968,3,1.01527427370415,-0.5,1,-0.67700320038633,1,-0.88894875277345,1,271056
"Arvika","Värmland",2016,1,4,0.25,0.401,1.095,0.26,0.0531390027358585,70.2444556451613,0.002095,-1.0880831996266,-0.382717045392293,0.2427825,1.5,-0.614751360173994,-0.5,0,1.35400640077266,2,0.17778975055469,2,276605
"Arvika","Värmland",2017,1,2,0.5,0.3865,1.03,0.23,0.773019471736041,64.1940498737374,0.00061,-0.910436962952871,1.47466835887801,0.30389,4.5,-0.667344002847652,2.5,3,1.35400640077266,16,0.17778975055469,3,279551
"Arvika","Värmland",2018,0,1,0,0.393,1.33,0.35,-1.000599075076,83.140625,0.00029,-0.73279072627914,-0.910222815854882,0.214123,3,0.834684557461758,1.5,5,-0.67700320038633,15,0.17778975055469,3,281119
"Arvika","Värmland",2019,1,2,0.5,0.397,1.39,0.36,-1.03565412400123,81.78125,0,-0.555144489605409,-1.73331274293722,0.214123,3,2.32372728007397,-0.5,5,-0.67700320038633,15,-0.88894875277345,3,284456
"Askersund","Orebro",2013,0,2,0,0.22,1.41,0.38,-1.05347666519584,76.4329501915709,0.00431,1.18019368870416,NA,NA,0,NA,NA,0,1.22474487139159,3,NA,0,261603
"Askersund","Orebro",2014,1,1,1,0.219,1.38,0.38,-0.654264455226892,52.9583333333333,0.0042,0.453920649501602,NA,NA,0,NA,NA,0,0,4,NA,0,266059
"Askersund","Orebro",2016,0,1,0,0.232,1.5,0.41,0.809513647992595,57.15625,0.00505,-0.635488909302243,NA,NA,0,NA,NA,0,-1.22474487139159,4,NA,0,277050
