mod_id;id;sex;Country_fatefile;territory;Revir_Vinter;Autumn;Spring;Fate;Fate_binary;confirmed.illegal;Radio.collar;Comment;geometry;NAME_1;NAME_2;KommunerNamn;SLU.ID;ruggedness_mean;average_gravel_km;average_paved_km;artificial_area_total;pop_mean;mean_snow;hunt_afo;hunt_county2;Fi;number_neighbour_terr;bear_density_BZtiff;mean_fi;max_fi;wolfLKill_cumall;wolfLKill_last5y;wolfLKill_n;NoAffectedSheep_cumall;NoAffectedSheep_last5y;NoAffectedSheep;sheepAttacks_n;AttackDogs_cumall;AttackDogs_last5y;AttackDogs_n;IndividualIncome;income_prop;wolfPopSize;year_average;first_yeardet;last_yeardet;years_firstdet;time_start;time_end;ruggedness_mean_sc;average_gravel_km_sc;average_paved_km_sc;artificial_area_total_sc;pop_mean_sc;mean_snow_sc;hunt_afo_sc;hunt_county2_sc;bear_density_BZtiff_sc;Fi_sc;mean_fi_sc;max_fi_sc;IndividualIncome_sc;income_prop_sc
1581;M-06-09;F;S;Aamäck 1;Aamäck_0607;2006;2007;NA;0;NA;1;NA;list();Värmland;Hagfors;hagfors;M-06-09;0,325;0,98;0,26;0,00030;7,680;83,2447916666667;NA;3,7;0,267578;2;0,00002020;0,268554500000000;0,269531;0;0;0;22;22;8;3;2;2;0;228662;0,927555099116705;30;246521,204204204;2006;2010;0;0;1;0,65126469560442268;-0,9161633036860417;-0,39045300711349268;-0,50159506441872903;-0,384887577391677171;0,734399836512713899;NA;1,559227734364636;-0,61442035157338892;0,350852125030086115;0,511017156191504784;-0,09266185149371141;-0,797730016305675971;-0,38324415517627713
1502;M-06-09;F;S;Aamäck 1;Aamäck_0708;2007;2008;NA;0;NA;1;NA;c(14.1849149877836, 60.1659809125502);Värmland;Filipstad;filipstad;M-06-09;0,323;1,00;0,25;0,00028;7,620;72,6256272401434;NA;3,4;0,267578;3;0,00001420;0,268554500000000;0,269531;0;0;0;48;48;0;0;4;4;1;226802;0,902546393951184;39;251291,237237237;2006;2010;1;1;2;0,62815884417295964;-0,8340844813351570;-0,44508919511847578;-0,50519804987759231;-0,386614848332123895;-0,470762935012892070;NA;1,101721241923092;-0,62048597751894896;0,350852125030086115;0,511017156191504784;-0,09266185149371141;-0,833954722435027662;-0,55008982121195171
1422;M-06-09;F;S;Aamäck 1;Aamäck_0809;2008;2009;NA;0;NA;1;NA;c(13.9694963738858, 14.1176508580758, 14.1767549641524, 59.8289394211371, 59.8656497849507, 59.8679474516846);Värmland;Filipstad;filipstad;M-06-09;0,320;0,98;0,24;0,00000;7,580;81,8388888888889;NA;2,9;0,267578;3;0,00014579;0,268554500000000;0,269531;0;0;0;48;43;0;0;7;5;3;227718;0,895624903165033;40;254255,993993994;2006;2010;2;2;3;0,59350006702576508;-0,9161633036860417;-0,49972538312345888;-0,55563984630167829;-0,387766362292421785;0,574844750998611653;NA;0,339210421187188;-0,48745669115623985;0,350852125030086115;0,511017156191504784;-0,09266185149371141;-0,816115028448744839;-0,59626657176868880
1320;M-06-09;F;S;Aamäck 1;Aamäck_0910;2009;2010;NA;0;NA;1;NA;c(13.9223214239553, 14.3391528686215, 59.7687015423886, 59.9132074933017);Värmland;Filipstad;filipstad;M-06-09;0,316;0,98;0,23;0,00044;7,560;81,6525297619048;NA;2,9;0,267578;3;0,00014395;0,268554500000000;0,269531;1;1;1;48;33;0;0;9;6;2;231812;0,895459198454853;52;258875,000000000;2006;2010;3;3;4;0,54728836416283899;-0,9161633036860417;-0,55436157112844187;-0,47637416620668599;-0,388342119272570729;0,553694962469648888;NA;0,339210421187188;-0,48931681644621167;0,350852125030086115;0,511017156191504784;-0,09266185149371141;-0,736381723667257959;-0,59737207133582837
1200;M-06-09;F;S;Aamäck 1;Aamäck_1011;2010;2011;illegal;1;NA;1;NA;list();Värmland;Filipstad;filipstad;M-06-09;0,316;0,98;0,23;0,00044;7,540;82,4444444444444;NA;2,9;0,267578;2;0,00016705;0,268554500000000;0,269531;3;3;2;66;18;18;3;9;6;0;226569;0,880245845660687;60;257392,864864865;2006;2010;4;4;5;0,54728836416283899;-0,9161633036860417;-0,55436157112844187;-0,47637416620668599;-0,388917876252719674;0,643568897488254410;NA;0,339210421187188;-0,46596415655580525;0,350852125030086115;0,511017156191504784;-0,09266185149371141;-0,838492548525424874;-0,69886800896148893
1081;G45-12;M;S;Aamäck 2;Aamäck_1112;2011;2012;NA;0;NA;0;NA;c(13.8617306569349, 14.3941517187704, 59.7639942402125, 59.8439479847382);Värmland;Filipstad;filipstad;G45-12;0,321;0,96;0,22;0,00000;7,540;82,3333333333333;NA;3,1;0,152161;4;0,00016090;0,225738500000000;0,299316;3;3;0;66;18;0;0;11;8;2;225496;0,873382186409303;61;258187,084084084;2011;2012;0;0;1;0,60505299274149660;-0,9982421260369263;-0,60899775913342491;-0,55563984630167829;-0,388917876252719674;0,630958962352540231;NA;0,644214749481550;-0,47218142315000433;-0,866833645575118328;-0,093917647494344295;0,30054040195917125;-0,859389919319400342;-0,74465893622700552
952;G45-12;M;S;Aamäck 2;Aamäkk_1213;2012;2013;illegal;1;NA;0;NA;c(13.8804310582558, 60.6471298019507);Dalarna;Malung;filipstad;G45-12;0,318;0,95;0,23;0,00000;7,480;74,4833333333333;2,7;3,2;0,152161;3;0,00006280;0,225738500000000;0,299316;0;0;0;186;157;0;0;16;11;1;244397;0,921766183186487;66;265139,906906907;2011;2012;1;1;2;0,57039421559430203;-1,0392815372123687;-0,55436157112844187;-0,55563984630167829;-0,390645147193166398;-0,259932954985758857;-0,44380311777015563;0,796716913628731;-0,57135440735991216;-0,866833645575118328;-0,093917647494344295;0,30054040195917125;-0,491280687840435326;-0,42186492852736435
814;M-13-09/G106-13;M;S;Aamäck 3;Aamäkk_1314;2013;2014;illegal;1;1;1;NA;list();Dalarna;Vansbro;filipstad;G106-13;0,321;0,98;0,22;0,00000;7,540;81,6250000000000;2,6;2,7;0,165527;2;0,00037484;0,232421500000000;0,299316;4;4;0;38;14;0;0;5;1;0;235305;0,865560317352448;71;271852,804804805;2013;2013;0;0;1;0,60505299274149660;-0,9161633036860417;-0,60899775913342491;-0,55563984630167829;-0,388917876252719674;0,550570625862357721;-0,44476979685620777;0,034206092892826;-0,25590142068448268;-0,725818127844548466;0,000504514618709789;0,30054040195917125;-0,668353283608212112;-0,79684256363983486
683;G71-13;F;S;Aamäck 4;Aamäkk_1415;2014;2015;censored;1;NA;0;NA;c(12.8395250247701, 60.9761202067794);Dalarna;Malung;filipstad;G71-13;0,318;0,95;0,25;0,00028;7,520;78,7639296187683;2,3;2,5;0,214912;3;0,00023776;0,214933000000000;0,214954;0;0;0;198;68;0;0;19;11;1;257612;0,931798751585479;67;276467,423423423;2014;2016;0;0;1;0,57039421559430203;-1,0392815372123687;-0,44508919511847578;-0,50519804987759231;-0,389493633232868564;0,225869418527921029;-0,44766983411436412;-0,270798235401536;-0,39448075478737932;-0,204790794077962857;-0,246585412377272467;-0,81315201052335651;-0,233909993485929057;-0,35493261253980452
543;G71-13;F;S;Aamäck 4;Aamäkk_1516;2015;2016;censored;1;NA;0;NA;list();Värmland;Hagfors;hagfors;G71-13;0,322;0,98;0,26;0,00028;7,600;75,8854166666667;2,1;2,0;0,214912;5;0,00017237;0,214933000000000;0,214954;3;1;0;22;0;0;0;14;6;0;257919;0,900758173286869;74;286335,453453453;2014;2016;1;1;2;0,61660591845722812;-0,9161633036860417;-0,39045300711349268;-0,50519804987759231;-0,387190605312272840;-0,100811335991942072;-0,44960319228646828;-1,033309056137441;-0,46058596821740855;-0,204790794077962857;-0,246585412377272467;-0,81315201052335651;-0,227930969409740392;-0,56201994177524117
