"mod_id","id","sex","Country_fatefile","territory","Revir_Vinter","Autumn","Spring","Fate","confirmed.illegal","Radio.collar","Comment","geometry","NAME_1","NAME_2","KommunerNamn","SLU.ID","ruggedness_mean","average_gravel_km","average_paved_km","artificial_area_total","pop_mean","mean_snow","hunt_afo","hunt_county2","Fi","number_neighbour_terr","bear_density_BZtiff","mean_fi","max_fi","wolfLKill_cumall","wolfLKill_last5y","wolfLKill_n","NoAffectedSheep_cumall","NoAffectedSheep_last5y","NoAffectedSheep","sheepAttacks_n","AttackDogs_cumall","AttackDogs_last5y","AttackDogs_n","IndividualIncome","income_prop","year_average","first_yeardet","last_yeardet","years_firstdet","time_start","time_end","Fate_binary","ruggedness_mean_sc","average_gravel_km_sc","average_paved_km_sc","artificial_area_total_sc","pop_mean_sc","mean_snow_sc","hunt_afo_sc","hunt_county2_sc","bear_density_BZtiff_sc","Fi_sc","mean_fi_sc","max_fi_sc","IndividualIncome_sc","income_prop_sc"
1581,"M-06-09","F","S","Aamäck 1","Aamäck_0607",2006,2007,NA,NA,1,NA,list(),"Värmland","Hagfors","hagfors","M-06-09",0.325,0.98,0.26,3e-04,7.68,83.2447916666667,NA,3.7,0.267578,2,2.02e-05,0.2685545,0.269531,0,0,0,22,22,8,3,2,2,0,228662,0.927555099116705,246521.204204204,2006,2010,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502,"M-06-09","F","S","Aamäck 1","Aamäck_0708",2007,2008,NA,NA,1,NA,c(14.1849149877836, 60.1659809125502),"Värmland","Filipstad","filipstad","M-06-09",0.323,1,0.25,0.00028,7.62,72.6256272401434,NA,3.4,0.267578,3,1.42e-05,0.2685545,0.269531,0,0,0,48,48,0,0,4,4,1,226802,0.902546393951184,251291.237237237,2006,2010,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,"M-06-09","F","S","Aamäck 1","Aamäck_0809",2008,2009,NA,NA,1,NA,c(13.9694963738858, 14.1176508580758, 14.1767549641524, 59.8289394211371, 59.8656497849507, 59.8679474516846),"Värmland","Filipstad","filipstad","M-06-09",0.32,0.98,0.24,0,7.58,81.8388888888889,NA,2.9,0.267578,3,0.00014579,0.2685545,0.269531,0,0,0,48,43,0,0,7,5,3,227718,0.895624903165033,254255.993993994,2006,2010,2,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1320,"M-06-09","F","S","Aamäck 1","Aamäck_0910",2009,2010,NA,NA,1,NA,c(13.9223214239553, 14.3391528686215, 59.7687015423886, 59.9132074933017),"Värmland","Filipstad","filipstad","M-06-09",0.316,0.98,0.23,0.00044,7.56,81.6525297619048,NA,2.9,0.267578,3,0.00014395,0.2685545,0.269531,1,1,1,48,33,0,0,9,6,2,231812,0.895459198454853,258875,2006,2010,3,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,"M-06-09","F","S","Aamäck 1","Aamäck_1011",2010,2011,"illegal",NA,1,NA,list(),"Värmland","Filipstad","filipstad","M-06-09",0.316,0.98,0.23,0.00044,7.54,82.4444444444444,NA,2.9,0.267578,2,0.00016705,0.2685545,0.269531,3,3,2,66,18,18,3,9,6,0,226569,0.880245845660687,257392.864864865,2006,2010,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,"G45-12","M","S","Aamäck 2","Aamäck_1112",2011,2012,NA,NA,0,NA,c(13.8617306569349, 14.3941517187704, 59.7639942402125, 59.8439479847382),"Värmland","Filipstad","filipstad","G45-12",0.321,0.96,0.22,0,7.54,82.3333333333333,NA,3.1,0.152161,4,0.0001609,0.2257385,0.299316,3,3,0,66,18,0,0,11,8,2,225496,0.873382186409303,258187.084084084,2011,2012,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
952,"G45-12","M","S","Aamäck 2","Aamäkk_1213",2012,2013,"illegal",NA,0,NA,c(13.8804310582558, 60.6471298019507),"Dalarna","Malung","filipstad","G45-12",0.318,0.95,0.23,0,7.48,74.4833333333333,2.7,3.2,0.152161,3,6.28e-05,0.2257385,0.299316,0,0,0,186,157,0,0,16,11,1,244397,0.921766183186487,265139.906906907,2011,2012,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,"M-13-09/G106-13","M","S","Aamäck 3","Aamäkk_1314",2013,2014,"illegal",1,1,NA,list(),"Dalarna","Vansbro","filipstad","G106-13",0.321,0.98,0.22,0,7.54,81.625,2.6,2.7,0.165527,2,0.00037484,0.2324215,0.299316,4,4,0,38,14,0,0,5,1,0,235305,0.865560317352448,271852.804804805,2013,2013,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,"G71-13","F","S","Aamäck 4","Aamäkk_1415",2014,2015,"censored",NA,0,NA,c(12.8395250247701, 60.9761202067794),"Dalarna","Malung","filipstad","G71-13",0.318,0.95,0.25,0.00028,7.52,78.7639296187683,2.3,2.5,0.214912,3,0.00023776,0.214933,0.214954,0,0,0,198,68,0,0,19,11,1,257612,0.931798751585479,276467.423423423,2014,2016,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,"G71-13","F","S","Aamäck 4","Aamäkk_1516",2015,2016,"censored",NA,0,NA,list(),"Värmland","Hagfors","hagfors","G71-13",0.322,0.98,0.26,0.00028,7.6,75.8854166666667,2.1,2,0.214912,5,0.00017237,0.214933,0.214954,3,1,0,22,0,0,0,14,6,0,257919,0.900758173286869,286335.453453453,2014,2016,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
