"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"1","G13-16",2020,0.366,11.1,0.205933,2.6,5,14,0,6,7,NA,5.56e-06
"1","G77-14",2020,0.393,27.233,0.287476,2.6,3,6,9e-04,3,3,NA,5.29e-06
"1","G6-12",2020,0.393,27.233,0,2.6,3,6,9e-04,3,3,NA,5.29e-06
"1","G302-17",2020,0.189,32.497,0.222382,1.8,4,8,0.00797,11,0,NA,0.000272481
"1","G27-19",2020,0.179,14.411,0.206153,1.8,4,8,0.00315,11,0,NA,0.000283518
"0","G151-15",2020,0.182,2.25,0.233883,2.6,0,26,0,14,18,NA,0.003519126
"1","G122-14",2020,0.397,11.008,0.214123,2.4,3,13,0,8,7,NA,6.91e-05
"0","G132-11",2020,0.19,7.573,0.165527,1.8,7,8,0.00149,11,0,NA,0.000377483
"0","G230-19",2020,0.166,5.95,0.175194,2.6,4,42,0.00096,12,17,NA,0.003679224
"1","G224-19",2020,0.216,5.094,0.235592,2.6,1,47,0.00092,16,44,NA,0.000470244
"1","G246-17",2020,0.38,6.5,0.169262,2.6,1,47,0.00279,16,44,NA,0.000161206
"0","G171-17",2020,0.158,13.95,0.175194,2.5,3,42,0,12,17,NA,0.003540376
"0","G38-19",2020,0.243,1.375,0.235942,1.8,0,13,0,65,0,NA,0.00025214
"1","G123-14",2020,0.203,16.65,0.214123,2.3,0,2,0.00315,1,6,NA,0
"1","G319-17",2020,0.222,67.32,0.222382,2,4,4,0.00449,4,10,NA,1.1e-05
"1","G166-14",2020,0.208,44.1,0.157578,2.3,3,8,0.01056,5,9,NA,0
"1","G181-19",2020,0.36,30.62,0.134041,2.6,2,21,0,10,13,NA,6.41e-06
"1","G166-16",2019,0.208,5.004,0.224609,2.2,3,47,0.00034,16,44,233516.125,0.000405387
"1","G117-15",2019,0.356,30.52,0.224609,2.3,5,21,0.00075,10,13,228473.458333333,5.25e-05
"1","G29-18",2019,0.266,5.152,0.206949,2.2,3,47,0.00056,16,44,233516.125,0.000245285
"1","G195-17",2019,0.153,1.893,0.243233,2.4,0,20,0.00222,0,18,243686.916666667,0.001373537
"1","G12-16",2019,0.033,39.667,0.231424,2.9,0,0,0.02917,0,0,252304.583333333,0.000726603
"1","G13-16",2019,0.375,11.133,0.205933,2.3,3,14,0.00047,6,7,232660.041666667,2.38e-10
"1","G11-11",2019,0.332,8.59,0.261963,1.9,3,6,0.00044,0,0,NA,0.00012494
"1","G113-17",2019,0.238,42.4,0.244385,2.3,5,2,0.01582,1,12,242100.916666667,3.38e-11
"1","G254-17",2019,0.441,14.375,0.218197,2.5,2,1,0.00581,1,3,235497.458333333,0
"1","G172-14",2019,0.293,18.642,0.139008,1.9,3,12,0.00129,0,0,NA,2.04e-05
"0","G196-17",2019,0.259,1.114,0.226028,1.8,1,13,0.00342,65,0,NA,0.000275593
"1","G136-15",2019,0.367,29.875,0.214912,2.3,2,21,0.00108,10,13,228473.458333333,0.000107916
"1","G173-16",2019,0.161,13.925,0.067337,2.8,1,42,0.00025,12,17,241579.958333333,0.003921846
"0","G141-13",2019,0.193,7.569,0.139008,1.8,3,9,0.01523,4,0,NA,0.000503717
"1","G175-17",2019,0.326,9.592,0.218197,2.1,5,14,0,7,0,NA,1.3e-06
"1","G111-17",2019,0.409,31.517,0.238016,2.3,4,18,0.00412,9,18,241293.666666667,3.99e-05
"1","G258-17",2019,0.36,9.401,0.206949,2.3,5,14,0.00084,6,7,232660.041666667,3.26e-10
"1","G31-17",2018,0.398,20.24,0.231424,2.8,0,12,0.00043,0,0,NA,0
"1","G161-17",2018,0.108,5.6,0.206153,2.4,2,12,0.00208,2,20,230253.166666667,0.002379911
"0","G126-15",2018,0.291,17.971,0.304016,2.4,2,6,0.00704,13,4,259731.416666667,0.000128382
"1","G32-14",2018,0.15,1.891,0.157578,2.3,0,20,0.00222,0,18,243686.916666667,0.001254951
"1","G130-17",2018,0.196,57.057,0.319611,2.1,2,4,0.00388,3,5,260597.708333333,2.84e-05
"1","G143-14",2018,0.317,142.535,0.217712,2.7,0,5,0.01087,0,0,NA,0
