"fate","id","territory","Autumn","Spring","terrRug","humPop","fi","mean_fi","max_fi","mooseHunt","wolfNeighbour","AttackDogs_n","AttackDogs_last5y","AttackDogs_cumall","wolfLKill_n","wolfLKill_last5y","wolfLKill_cumall","sheepAttacks_n","NoAffectedSheep","NoAffectedSheep_last5y","NoAffectedSheep_cumall","IndividualIncome","bearDensity","KommunerNamn","NAME_1","NAME_2","first_yeardet","years_firstdet"
0,"M-00-01","Årjangkongsvinger",1999,2000,0.654354426842513,-0.226907064897048,-1.5676357034977,-1.51374013891419,-1.99319751435843,0.92067980333344,-1.22060872809578,-0.559341656004787,0,0,NA,NA,NA,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,-1.2082007257125,-0.620477948775933,"aurskog-høland","Akershus","Aurskog-Høland",1998,1
0,"M-00-02","Årjangkongsvinger",1999,2000,0.654354426842513,-0.226907064897048,-1.5676357034977,-1.51374013891419,-1.99319751435843,0.92067980333344,-1.22060872809578,-0.559341656004787,0,0,NA,NA,NA,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,-1.2082007257125,-0.620477948775933,"aurskog-høland","Akershus","Aurskog-Høland",1998,1
0,"M-00-01","Årjangkongsvinger",2000,2001,0.64282580867533,-0.2531695706185,-1.5676357034977,-1.51374013891419,-1.99319751435843,1.06307222979478,-1.22060872809578,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,-0.943575317369135,-0.59976456297312,"aurskog-høland","Akershus","Aurskog-Høland",1998,2
0,"M-00-02","Årjangkongsvinger",2000,2001,0.64282580867533,-0.2531695706185,-1.5676357034977,-1.51374013891419,-1.99319751435843,1.06307222979478,-1.22060872809578,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,-0.943575317369135,-0.59976456297312,"aurskog-høland","Akershus","Aurskog-Høland",1998,2
1,"M-00-01","Årjangkongsvinger",2001,2002,0.723526135845614,-0.341875045825898,-1.5676357034977,-1.51374013891419,-1.99319751435843,1.4902495091788,-1.22060872809578,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,-0.741675931744199,-0.620477948775933,"aurskog-høland","Akershus","Aurskog-Høland",1998,3
0,"M-02-14","Mangen 1 (N. f.d. Årjäng)",2002,2003,0.64282580867533,-0.210253546563092,0.464140435639725,0.498662257993257,0.310704929446341,1.20546465625612,-0.651133645945279,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,-0.494692217290395,-0.549460626023431,"aurskog-høland","Akershus","Aurskog-Høland",2002,0
0,"G75-10","Aurskog 1",2010,2011,0.792697844848714,3.56719079108278,-0.00772812084579532,0.073299421757332,-0.224363427495361,0.7782873768721,-0.651133645945279,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,1.19302983147727,-0.620477948775933,"aurskog-høland","Akershus","Aurskog-Høland",2010,0
1,"G75-10","Aurskog 1",2011,2012,0.308495881827011,0.192705982400645,-0.00772812084579532,0.073299421757332,-0.224363427495361,0.351110097488082,-1.22060872809578,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,1.42825241667137,-0.619355548560017,"aurskog-høland","Akershus","Aurskog-Høland",2010,1
1,"G111-10","Aurskog 3",2012,2013,0.573654099672229,0.30597462472399,-0.00772812084579532,0.357819133439563,-0.224363427495361,0.351110097488082,-0.0816585637947769,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,1.72816121279385,-0.620477948775933,"aurskog-høland","Akershus","Aurskog-Høland",2012,0
0,"G107-16","Aurskog 4",2015,2016,0.861869553851815,1.623858058892,0.626386995695935,1.0183021217195,0.494682011867988,-0.503244461279954,0.487816518355726,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,2.51223649677418,-0.60578470958576,"aurskog-høland","Akershus","Aurskog-Høland",2015,0
1,"G107-16","Aurskog 4",2016,2017,1.02327020819238,4.00475503346773,0.626386995695935,1.0183021217195,0.494682011867988,-0.930421740663972,0.487816518355726,-0.559341656004787,0,0,-0.311706812883643,-0.553293032515316,-0.538284461078732,-0.463580494173236,-0.348829798515283,-0.643070481789381,-0.713948409062778,2.6710117417802,-0.612927256414317,"aurskog-høland","Akershus","Aurskog-Høland",2015,1
