kommun,kommun original,age,metric,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Åmot,0429 Åmot (-2019),All ages,Average Gross income,181200,191200,205500,214300,221700,238200,249200,250600,274700,291000,297100,302700,321100,345500,345200,359500,367100,371100,374600,389600,403100,0,0
Åmot,3422 Åmot,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409300,432800
Aremark,0118 Aremark (-2019),All ages,Average Gross income,404400,310800,216700,239500,240000,258900,360600,302900,309200,307900,308800,321500,352500,344600,347300,371100,392700,398700,408100,422700,434200,0,0
Aremark,3012 Aremark,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438900,504800
Åsnes,0425 Åsnes (-2019),All ages,Average Gross income,179200,189300,198700,212000,215200,222800,234200,235100,257700,277400,278400,287600,301100,314300,327600,335200,349100,363900,379800,390700,406100,0,0
Åsnes,3418 Åsnes,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414000,441700
Aurskog-Høland,0221 Aurskog-Høland (1966-2019),All ages,Average Gross income,202800,216300,226600,239200,245700,251300,270700,270100,291700,313500,314800,325300,337300,352600,367800,378600,392600,400700,414600,424300,443400,0,0
Aurskog-Høland,3026 Aurskog-Høland,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,483400
Eidskog,0420 Eidskog (-2019),All ages,Average Gross income,176400,187900,203900,207500,212300,220300,231500,230400,251700,268300,272600,281200,299700,310200,318600,329700,347100,355100,365300,377000,391600,0,0
Eidskog,3416 Eidskog,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401800,434500
Elverum,0427 Elverum (-2019),All ages,Average Gross income,197500,209300,221000,235600,247500,250500,263000,263600,286100,306900,312800,323100,337800,351600,364500,376500,391300,395200,407200,419200,433800,0,0
Elverum,3420 Elverum,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446700,478000
Enebakk,0229 Enebakk (-2019),All ages,Average Gross income,226900,246900,253800,270600,286900,283100,295000,299900,328400,350900,351600,361600,376100,389500,405800,419000,437500,434900,444900,455700,467400,0,0
Enebakk,3028 Enebakk,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476600,515500
Grue,0423 Grue (-2019),All ages,Average Gross income,179400,188700,198300,214000,224300,225600,232600,236700,264200,279500,279800,289400,307600,322800,332400,342400,355900,362700,376900,386500,406700,0,0
Grue,3417 Grue,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425600,490400
Halden,0101 Halden (-2019),All ages,Average Gross income,192100,205400,218300,228200,242200,246200,258800,256400,277300,296300,300600,310000,325100,339700,350700,361300,380500,383300,397500,406200,417200,0,0
Halden,3001 Halden,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423400,458700
Kongsvinger,0402 Kongsvinger (-2019),All ages,Average Gross income,195400,208800,232000,238600,241800,252300,265700,252200,275800,296600,299600,310600,324600,336500,348000,358500,381500,393300,396100,415900,430900,0,0
Kongsvinger,3401 Kongsvinger,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439400,487300
Lørenskog,0230 Lørenskog (1908-2019),All ages,Average Gross income,259500,278300,287100,307300,316400,319700,339400,329700,356800,379200,380200,386900,408400,421800,438800,450100,472100,467100,480600,495200,504200,0,0
Lørenskog,3029 Lørenskog,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519000,562200
Marker,0119 Marker (1964-2019),All ages,Average Gross income,187900,207100,213900,225600,230000,244800,249400,248600,272000,291000,292900,300200,317400,331100,344700,364500,390600,376200,398300,412000,426600,0,0
Marker,3013 Marker,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440800,475700
Nesodden,0216 Nesodden (-2019),All ages,Average Gross income,252300,264400,272800,287600,293900,299900,317000,319000,344200,372000,366800,377900,401800,419100,436700,450100,467500,475200,487800,503300,522900,0,0
Nesodden,3023 Nesodden,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546600,605700
Rælingen,0228 Rælingen (1929-2019),All ages,Average Gross income,247100,261300,269000,282600,295200,296400,313900,312900,339500,365500,370900,378400,392800,410200,426900,436200,459300,461200,473700,492400,516000,0,0
Rælingen,3027 Rælingen,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523000,565500
Rakkestad,0128 Rakkestad (-2019),All ages,Average Gross income,193400,209100,218100,234300,244900,257500,269000,260400,282800,308500,308700,320200,339600,350400,363200,372600,408600,402500,404000,437400,438900,0,0
Rakkestad,3016 Rakkestad,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444200,477300
Rendalen,0432 Rendalen (1965-2019),All ages,Average Gross income,164500,177700,185100,197000,199300,208500,215400,223800,243100,261300,269600,281300,298300,313300,324300,335600,348600,352100,360300,380100,385700,0,0
Rendalen,3424 Rendalen,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394500,413900
Rømskog,0121 Rømskog (-2019),All ages,Average Gross income,181200,194600,212600,222400,229700,245400,279900,264900,280800,294400,318000,327800,351700,354900,356000,373200,432900,395500,411200,447400,437200,0,0
Sør-Odal,0419 Sør-Odal (-2019),All ages,Average Gross income,196800,212500,222200,235100,243800,251000,259800,256400,283100,304100,300100,311400,328000,339300,355600,369200,387500,388600,399800,414100,429900,0,0
Sør-Odal,3415 Sør-Odal,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443200,477700
Stor-Elvdal,0430 Stor-Elvdal (-2019),All ages,Average Gross income,174800,188500,201300,220400,222300,221900,240200,236300,258700,276300,281100,290700,294800,302400,305800,311700,319400,341600,351200,369300,385100,0,0
Stor-Elvdal,3423 Stor-Elvdal,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400800,427100
Trysil,0428 Trysil (-2019),All ages,Average Gross income,174000,187500,195100,211600,216000,220100,244700,246700,254000,280400,280500,288300,298500,304300,319100,329100,348100,356100,377400,390500,403800,0,0
Trysil,3421 Trysil,All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410300,440600
Våler2,0137 Våler (Østfold) (-2019),All ages,Average Gross income,216000,231600,245000,257500,266200,268300,303400,287800,310900,343600,336600,345500,359000,375000,388400,405300,427200,437500,458200,457800,481100,0,0
Våler,0426 Våler (Hedmark) (-2019),All ages,Average Gross income,187300,193100,205000,218600,219500,226700,238200,238000,257900,279100,281600,289600,306200,320900,333200,344500,359100,367300,376600,394200,404400,0,0
Våler,3419 Våler (Innlandet),All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420600,456300
Våler2,3018 Våler (Viken),All ages,Average Gross income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,522100
