RovbaseID,DNAID,Art,Dødsårsak,"Dødsårsak, annet",Dødsdato,Usikker dødsdato,Dødstidspunkt,Alder på dødt individ,Aldersklasse verifisert SVA,Yngling,Kjønn,"Alder, vurdert","Alder, verifisert","Alder, verifisert av",Helvekt,Slaktevekt,CITES-nummer,Kontroll av fellingsted,Vevsprøve tatt,Observasjons/Jaktdato,Kontrollstatus,Vurdering,Microchip,Funnsted,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Individ,SVAID,Länsstyrelsens nr,Kommunenummer,Kommune,Fylkenummer,Fylke
M495546,D497260,Varg,Skyddsjakt,,1977.12.25,Ja,,Vuxen,Nej,Nej,Hane,4,,,"43,00","0,00",,Nej,Nej,1997.12.25,Laboratorium,Dokumenterad,,Norr om Håmojokk stn,7477972,722121,7477676,1687674,RT90,Mycket bra,,,,2-2523,Gällivare (S),2-25,Norrbottens län (S)
M495563,D497349,Varg,Skyddsjakt,,1993.02.24,Nej,,Vuxen,Nej,Nej,Hona,4,,,"36,00","0,00",,Nej,Nej,1993.02.24,Laboratorium,Dokumenterad,,"Västra Ämtevik, Hensgård",6623856,392889,6627454,1347583,RT90,Mindre bra,UI040743 D-93-02 V3 +,V1993-0178,,2-1766,Sunne (S),2-17,Värmlands län (S)
M202953,D437825,Varg,Skyddsjakt,,2000.05.23,Nej,,Vuxen,Nej,Nej,Hane,2,2,NINA,43,37,,Nej,Nej,2000.05.23,Laboratorium,Dokumenterad,,Roland,6501422,68742,6508865,1021738,WGS84-UTM Zon 33,Mindre bra,,,,1-4205,Lindesnes (N),1-42,Agder (N)
M202795,D437790,Varg,Skyddsjakt,,2000.06.07,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"31,5","27,3",,Nej,Nej,2000.06.07,Laboratorium,Dokumenterad,,Gransjøsætra,6727931,313739,6732482,1269521,WGS84-UTM Zon 33,Mindre bra,UI040595 D-00-14 V34 +,,,1-3413,Stange (N),1-34,Innlandet (N)
M202796,D437791,Varg,Skyddsjakt,,2000.07.07,Nej,,Vuxen,Nej,Nej,Hane,2,2,NINA,48,38,,Nej,Nej,2000.07.07,Laboratorium,Dokumenterad,,Hovdet,6909535,288906,6914473,1246932,WGS84-UTM Zon 33,Mindre bra,UI408829 V35 +,,,1-3427,Tynset (N),1-34,Innlandet (N)
M202797,D437792,Varg,Skyddsjakt,,2000.08.27,Nej,,Vuxen,Nej,Nej,Hane,4,4,NINA,48,45,,Nej,Nej,2000.08.27,Laboratorium,Dokumenterad,,Østamyra,6861066,295862,6865896,1253286,WGS84-UTM Zon 33,Mindre bra,UI040305 D-00-15 V36 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203944,D439291,Varg,Skyddsjakt,,2001.02.19,Nej,,Unge,Nej,Nej,Hona,0,0,NINA,"31,5","25,8",,Nej,Nej,2001.02.19,Laboratorium,Dokumenterad,,Grøtenedalen,6866164,275537,6871250,1233015,WGS84-UTM Zon 33,Mindre bra,UI040596 D-01-13 V42 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203937,D439063,Varg,Skyddsjakt,,2001.02.25,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"33,4","29,7",,Nej,Nej,2001.02.25,Laboratorium,Dokumenterad,,Nordre Imssjø,6834389,268176,6839551,1225255,WGS84-UTM Zon 33,Mindre bra,UI040597 D-01-14 V43 +,,,1-3439,Ringebu (N),1-34,Innlandet (N)
M203938,D439064,Varg,Skyddsjakt,,2001.02.25,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"37,1",32,,Nej,Nej,2001.02.25,Laboratorium,Dokumenterad,,Famptjønna,6834568,269499,6839714,1226581,WGS84-UTM Zon 33,Mindre bra,UI040598 D-01-15 V44 +,,,1-3439,Ringebu (N),1-34,Innlandet (N)
M203945,D439292,Varg,Skyddsjakt,,2001.03.04,Nej,,Unge,Nej,Nej,Hane,0,0,NINA,"31,7","27,9",,Nej,Nej,2001.03.04,Laboratorium,Dokumenterad,,Klunkneset,6861775,278446,6866822,1235871,WGS84-UTM Zon 33,Mindre bra,UI040599 D-01-16 V45 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
