Country,HändelseID,Fynddatum,Undersökt,Undersökt datum,Skada på,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Kön,Alder,Antall,Tilstand,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
Sweden,V466918,2016.01.02,Ja,2016.01.02,Jakthund,Annan,Gråhund,2016.01.02,2016.01.02,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2083,Långmora,6701901,553201,6703573,1508909,RT90,Mycket bra,2016.01.03,Ja,2017.12.18,2016.02.11,2-2083,Hedemora (S),2-20,Dalarnas län (S)
Sweden,V466973,2016.01.04,Ja,2016.01.04,Jakthund,Annan,Drever,2016.01.04,2016.01.04,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1460,,6569302,341613,6573495,1295619,WGS84-UTM Zon 33,Mindre bra,2016.01.09,Ja,2017.12.18,2016.01.11,2-1460,Bengtsfors (S),2-14,Västra Götalands län (S)
Sweden,V467013,2016.01.09,Ja,2016.01.10,Jakthund,Annan,Jämthund,2016.01.09,2016.01.09,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1763,Lundbyberget,6618994,422010,6622236,1376658,RT90,Mycket bra,2016.01.14,Ja,2017.12.18,2016.01.18,2-1763,Forshaga (S),2-17,Värmlands län (S)
Sweden,V470981,2016.08.28,Ja,2016.08.28,Jakthund,Annan,Beagle,2016.08.28,2016.08.28,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1737,Storåsen,6661691,395529,6665275,1350685,RT90,Mycket bra,2016.08.28,Ja,2017.12.18,2016.08.28,2-1737,Torsby (S),2-17,Värmlands län (S)
Sweden,V471412,2016.09.08,Ja,2016.09.08,Jakthund,Annan,Norsk älghund grå,2016.09.08,2016.09.08,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1737,Storskär Långflon,6769354,369422,6773310,1325886,WGS84-UTM Zon 33,Mindre bra,2016.09.08,Ja,2017.12.18,2016.10.11,2-1737,Torsby (S),2-17,Värmlands län (S)
Sweden,V471547,2016.09.06,Ja,2016.09.06,Jakthund,Annan,Jämthund,2016.09.06,2016.09.06,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-2281,Kråktorpet,6962770,580051,6964183,1538998,RT90,Mycket bra,2016.09.06,Ja,2017.12.18,2016.09.15,2-2281,Sundsvall (S),2-22,Västernorrlands län (S)
Sweden,V471639,2015.10.19,Ja,2015.10.19,Jakthund,Annan,Hamiltonstövare,2015.10.19,2015.10.19,Nej,NA,Över 2 år,1,Avlivad,0,0,0,0,0,0,0,0,0,1,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2580,,7318644,834922,7316874,1798425,RT90,Mindre bra,2016.09.20,Nej,,2016.09.20,2-2580,Luleå (S),2-25,Norrbottens län (S)
Sweden,V471829,2016.09.24,Ja,2016.09.24,Jakthund,Annan,Gråhund,2016.09.24,2016.09.24,Nej,NA,Under 1 år,1,Skadad,0,0,1,0,0,0,0,0,0,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2029,Hinsberget,6715984,496967,6718350,1452830,RT90,Mycket bra,2016.09.27,Ja,2017.12.18,2016.10.25,2-2029,Leksand (S),2-20,Dalarnas län (S)
Sweden,V472125,2016.10.10,Ja,2016.10.10,Jakthund,Annan,Jämthund,2016.10.10,2016.10.10,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-2121,Skallen,6789308,556601,6790964,1513385,WGS84-UTM Zon 33,Mindre bra,2016.10.11,Ja,2017.12.18,2016.10.11,2-2121,Ovanåker (S),2-21,Gävleborgs län (S)
Sweden,V472206,2016.10.14,Ja,2016.10.14,Jakthund,Annan,Finnstövare,2016.10.14,2016.10.14,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-2183,Stugsjöbo,6778677,566965,6780202,1523621,RT90,Mycket bra,2016.10.17,Ja,2017.12.18,2016.10.17,2-2183,Bollnäs (S),2-21,Gävleborgs län (S)
