Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
STOCKHOLM LÄN,"211,775","213,035","208,990","209,071","209,695","217,369","222,785","232,131","242,731","250,714","256,502","259,549","260,753","265,165","269,429","274,339","279,622","282,639","288,607","288,051","288,082","295,373","302,685","309,017","319,788","327,619","332,410","336,429","339,633","344,106","348,033"
Upplands Väsby,"223,255","221,308","217,598","217,842","218,758","228,024","233,851","241,970","251,772","259,175","264,202","267,308","268,295","269,994","272,869","276,634","281,041","282,224","287,370","284,509","284,057","288,358","293,244","298,910","308,500","314,386","317,715","319,307","319,845","322,986","324,004"
Vallentuna,"215,853","216,728","213,083","215,420","217,683","226,343","232,742","240,272","251,800","259,856","266,493","271,867","272,822","277,616","284,892","290,353","297,667","300,281","308,535","310,557","311,654","318,893","327,116","335,132","342,572","350,294","354,819","357,895","359,998","365,965","370,100"
Österåker,"217,213","217,910","215,482","217,498","218,386","225,818","231,416","241,124","252,798","263,156","269,015","272,685","272,851","278,911","285,236","290,045","294,836","297,064","305,795","306,627","304,609","309,647","318,707","324,626","332,652","337,012","342,441","345,075","348,625","356,446","359,628"
Värmdö,"214,494","215,103","211,671","213,858","215,585","222,340","230,463","240,367","250,982","260,208","266,474","271,734","273,855","280,993","286,267","291,476","297,697","300,707","308,470","310,359","309,241","314,787","322,902","329,812","340,153","347,291","351,558","354,286","357,757","362,371","367,500"
Järfälla,"232,167","231,502","226,488","226,862","226,919","234,364","241,461","249,284","258,307","265,479","270,232","273,494","273,886","277,355","280,114","283,963","286,540","288,118","293,155","290,866","287,842","293,505","298,337","301,976","309,765","317,410","321,884","324,466","326,421","329,314","330,265"
Ekerö,"229,146","226,627","222,678","225,138","226,602","237,831","243,383","253,764","266,081","275,799","282,498","285,155","289,140","296,589","301,498","306,847","313,423","316,142","324,524","323,809","325,298","330,627","337,888","345,455","355,592","363,141","368,732","372,280","373,790","381,737","387,982"
Huddinge,"218,119","218,206","214,353","213,260","213,171","220,898","225,664","234,885","244,636","252,079","258,012","260,356","261,307","265,348","269,206","272,162","275,568","276,534","280,602","280,196","279,963","286,081","292,357","297,682","307,915","315,909","320,071","322,421","326,199","328,912","333,318"
Botkyrka,"204,826","204,466","199,677","197,582","196,016","198,762","201,656","208,643","216,149","221,631","227,835","229,042","231,045","234,463","236,099","237,139","239,739","241,012","243,403","241,212","239,366","243,830","250,208","255,105","263,545","270,656","276,320","279,309","279,720","283,080","285,586"
Salem,"226,427","226,036","220,138","222,259","222,065","232,210","240,056","247,674","258,971","268,170","274,101","278,064","280,536","285,708","290,756","295,103","301,077","304,949","312,103","311,597","309,543","313,745","320,551","327,302","335,841","340,467","347,939","350,445","350,500","353,627","355,446"
Haninge,"216,911","216,876","211,248","210,431","210,009","217,245","221,756","229,678","240,012","247,181","252,771","256,391","256,878","260,861","264,071","267,532","270,730","271,889","277,078","275,048","272,541","279,349","285,730","290,975","299,738","306,394","311,139","314,995","316,571","321,290","325,386"
Tyresö,"227,484","227,070","223,384","224,086","224,558","232,295","238,380","248,212","258,499","267,629","274,059","278,883","280,332","283,303","288,397","293,501","298,567","300,764","307,576","306,702","305,934","311,793","321,052","327,536","337,975","344,786","348,467","351,795","352,903","357,535","362,500"
Upplands-Bro,"215,551","216,581","213,506","213,522","215,966","221,980","227,475","236,461","247,530","254,290","259,013","261,662","262,271","266,437","270,638","272,473","277,145","279,211","284,303","282,981","282,987","288,917","295,087","300,325","308,731","314,483","319,997","322,105","323,429","325,516","326,643"
