id,sex,Country_fatefile,territory,Revir_Vinter,Y_coordinate_fatefile,X_coordinate_fatefile,Autumn,Spring,Fate,confirmed illegal,Radio collar,Comment,average_paved_km,average_gravel_km,average_light,average_hf,dem_mean,slope_mean,aspect_mean,ruggedness_mean,KommunerKode,KommunerNamn,Country,pop_mean,Norwegian_wolf_zone,number_neighbour_terr,Reindeerarea,mean_snow,n_months_monitoringseason_averagesnow,hunt_afo,hunt_county,extr_parabol_2yr_value,extr_parabol_5yr_value,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_16,code_18,code_20,code_21,code_23,code_24,code_25,code_26,code_27,code_29,code_30,code_31,code_32,code_33,code_35,code_36,code_37,code_39,code_40,code_41,code_42,code_43,code_44,monitoredwolfterrcentroid,SLU-ID,Fi,BirthTerr
D-01-18,M,N,Atndalen,Atndalen_9899,6869518,1230119,1998,1999,NA,NA,0,NA,0.1,0.35,0.01,3.5,826.91,22.648,164.322,0.368,432,Rendalen,N,2.139,0,1,0,NA,NA,NA,5839.3,0.29727491,0.126598784,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0.00061,0.00776,0.07764,0.41425,0.03311,0,0.02905,0.03561,0,0.01017,0.29977,0,0,0.08449,0,0,0.00463,0.00245,0,0,0,1,D-01-18,0.125,Fre
D-01-21,F,N,Atndalen,Atndalen_9899,6869518,1230119,1998,1999,NA,NA,0,NA,0.1,0.35,0.01,3.5,826.91,22.648,164.322,0.368,432,Rendalen,N,2.139,0,1,0,NA,NA,NA,5839.3,0.29727491,0.126598784,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0.00061,0.00776,0.07764,0.41425,0.03311,0,0.02905,0.03561,0,0.01017,0.29977,0,0,0.08449,0,0,0.00463,0.00245,0,0,0,1,D-01-21,NA,Mitt
M-00-09,M,S,Bograngen 1,Höljes-Bograngen_9899,6741284,1323674,1998,1999,NA,NA,1,NA,0.29,1.19,0.05,4.84,394.853,19.522,177.155,0.212,1737,Torsby,S,5.704,0,0,0,NA,NA,NA,1250,0.250082953,0.281674466,0,0.00242,0,0,0,0,0,0,0,0,0,0.00022,0,0.00048,0.00079,0.00129,0.00243,0.69962,0.07795,0,0,0.10153,0,0,0,0,0.00056,0.07768,0,0,0.00448,0.03057,0,0,0,1,M-00-09,0.125,Fre
M-00-11,F,S,Bograngen 1,Höljes-Bograngen_9899,6741284,1323674,1998,1999,NA,NA,1,NA,0.29,1.19,0.05,4.84,394.853,19.522,177.155,0.212,1737,Torsby,S,5.704,0,0,0,NA,NA,NA,1250,0.250082953,0.281674466,0,0.00242,0,0,0,0,0,0,0,0,0,0.00022,0,0.00048,0.00079,0.00129,0.00243,0.69962,0.07795,0,0,0.10153,0,0,0,0,0.00056,0.07768,0,0,0.00448,0.03057,0,0,0,1,M-00-11,0.375,Ny4b
G5-03,F,S,Filipstad,Filipstad_9899,6637289,1409510,1998,1999,NA,NA,0,NA,0.32,1.11,0.7,7.49,251.161,35.081,170.591,0.355,1782,Filipstad,S,8,0,1,0,NA,NA,NA,5.4,0.500458108,0.200183243,0,0.00965,0.00166,0,0,0,0.00051,0,0,0,0.00051,0.00493,0,0.00089,0.0022,0.00412,0.00289,0.68914,0.06267,0,0,0.0813,0,0,0,0,0.00028,0.03455,0,0,0.00049,0.10422,0,0,0,1,G5-03,0.375,Ny4b
M-05-08,M,S,Filipstad,Filipstad_9899,6637289,1409510,1998,1999,NA,NA,1,NA,0.32,1.11,0.7,7.49,251.161,35.081,170.591,0.355,1782,Filipstad,S,8,0,1,0,NA,NA,NA,5.4,0.500458108,0.200183243,0,0.00965,0.00166,0,0,0,0.00051,0,0,0,0.00051,0.00493,0,0.00089,0.0022,0.00412,0.00289,0.68914,0.06267,0,0,0.0813,0,0,0,0,0.00028,0.03455,0,0,0.00049,0.10422,0,0,0,1,M-05-08,0.125,Hag2
M-98-02,M,S,Hagfors 2,Hagfors_9899,6671310,1404129,1998,1999,illegal,1,1,NA,0.24,0.98,0.05,5.9,319.463,33.662,176.434,0.321,1782,Filipstad,S,8.26,0,1,0,NA,NA,NA,4.6,0.547107805,0.574604663,0,0.00205,0,0,0,0,0,0,0,0,0,0.00067,0,0,0,0.00126,0.00025,0.64521,0.02618,0,0,0.18014,0,0,0,0,0.00224,0.04471,0,0,0,0.09729,0,0,0,1,M-98-02,0.375,Ny4
M-98-03,F,S,Hagfors 2,Hagfors_9899,6671310,1404129,1998,1999,illegal,1,1,NA,0.24,0.98,0.05,5.9,319.463,33.662,176.434,0.321,1782,Filipstad,S,8.26,0,1,0,NA,NA,NA,4.6,0.547107805,0.574604663,0,0.00205,0,0,0,0,0,0,0,0,0,0.00067,0,0,0,0.00126,0.00025,0.64521,0.02618,0,0,0.18014,0,0,0,0,0.00224,0.04471,0,0,0,0.09729,0,0,0,1,M-98-03,0,Gh
D-00-15,M,N,Koppang 1,Koppang_9899,6856204,1247003,1998,1999,NA,NA,0,NA,0.22,0.65,0.4,4.27,618.45,22.052,170.387,0.371,432,Rendalen,N,1.057,0,1,0,NA,NA,NA,5903,0.498124886,0.287088526,0,0.00158,0.00026,0,0,0,0,0,0,0,0.0035,0.00209,0,0,0.00136,0.01934,0.02189,0.68625,0.01168,0,0.01122,0.05095,0,0.00128,0.05147,0,0,0.10918,0,0,0.00691,0.02106,0,0,0,1,D-00-15,0.125,Fre
G2-02,F,N,Koppang 1,Koppang_9899,6856204,1247003,1998,1999,NA,NA,0,NA,0.22,0.65,0.4,4.27,618.45,22.052,170.387,0.371,432,Rendalen,N,1.057,0,1,0,NA,NA,NA,5903,0.498124886,0.287088526,0,0.00158,0.00026,0,0,0,0,0,0,0,0.0035,0.00209,0,0,0.00136,0.01934,0.02189,0.68625,0.01168,0,0.01122,0.05095,0,0.00128,0.05147,0,0,0.10918,0,0,0.00691,0.02106,0,0,0,1,G2-02,0.125,Hag2
