HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Antal döda körren,Antal avlivade körren,Antal skadade körren,Antal saknade körren,Skadeomfattning antal (inte djur),Skadeorsak,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
V445642,,2013.01.15,Ja,2013.01.15,2013.01.15,Ren,,,,2013.01.15,2013.01.15,Nej,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Sämsjön,7095261,606361,7096376,1566982,RT90,Mindre bra,2013.01.17,Ja,,Nej,,2013.01.17,2-2463,Åsele (S),2-24,Västerbottens län (S)
V445643,,2013.01.15,Ja,2013.01.15,2013.01.15,Ren,,,,2013.01.14,2013.01.14,Nej,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Stensvattnet,7096774,605102,7097906,1565742,RT90,Mindre bra,2013.01.15,Ja,,Nej,,2013.01.18,2-2463,Åsele (S),2-24,Västerbottens län (S)
V445644,,2013.01.13,Ja,2013.01.13,,Ren,,,,2013.01.12,2013.01.12,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Torrberget,7083237,602523,7084398,1562991,RT90,Mindre bra,2013.01.18,Ja,,Nej,,2013.01.18,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V445659,,2012.10.10,Nej,,,Annat djur,Älg,,,2012.10.10,2012.10.10,Ja,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2039,,6833233,381360,6837073,1338620,WGS84-UTM Zon 33,Mindre bra,2013.01.18,Nej,,Nej,,2018.02.27,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
V445796,,2013.01.18,Ja,2013.01.24,,Ren,,,,2013.01.08,2013.01.08,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Osäker,2-2582,norr Harads,7349369,769615,7348442,1733509,RT90,Mindre bra,2013.01.25,Ja,,Nej,,2013.01.25,2-2582,Boden (S),2-25,Norrbottens län (S)
V445798,,2013.01.20,Ja,2013.01.24,,Ren,,,,2013.01.17,2013.01.17,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7346216,771723,7345262,1735577,RT90,Exakt,2013.01.25,Ja,,Nej,,2013.01.25,2-2582,Boden (S),2-25,Norrbottens län (S)
V445800,,2013.01.20,Ja,2013.01.24,,Ren,,,,2013.01.15,2013.01.15,Ja,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7339666,773646,7338686,1737415,RT90,Exakt,2013.01.25,Ja,,Nej,,2013.01.25,2-2582,Boden (S),2-25,Norrbottens län (S)
V445802,,2013.01.20,Ja,2013.01.24,,Ren,,,,2013.01.20,2013.01.20,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7339270,773724,7338289,1737488,RT90,Mindre bra,2013.01.25,Ja,,Nej,,2013.01.25,2-2582,Boden (S),2-25,Norrbottens län (S)
V445804,,2013.01.20,Ja,2013.01.24,,Ren,,,,2013.01.20,2013.01.20,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7341317,770625,7340376,1734415,RT90,Exakt,2013.01.25,Ja,,Nej,,2013.01.25,2-2582,Boden (S),2-25,Norrbottens län (S)
V445806,,2013.01.24,Ja,2013.01.24,,Ren,,,,2013.01.18,2013.01.18,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2582,Norr Harads,7341961,771714,7341006,1735513,RT90,Exakt,2013.01.25,Ja,,Nej,,2013.01.25,2-2582,Boden (S),2-25,Norrbottens län (S)
