kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AarborteHattfjelldal;1826 Aarborte - Hattfjelldal;All ages;Average Gross income;151900;165100;175500;188100;188200;194100;203100;215100;239400;260100;261700;275600;288800;296400;300400;296400;311000;320700;353200;362000;386800;389300;409500;434800;458600
Åfjord;5018 Åfjord (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419600;444100;0;0;0;0
Åfjord;5058 Åfjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451100;488900;500500;522700
Åfjord;1630 Åfjord (-2017);All ages;Average Gross income;174300;187100;196500;207600;208500;221800;242500;235200;258000;280200;294600;297600;312600;335100;348700;374000;379100;395500;406500;0;0;0;0;0;0
Agdenes;5016 Agdenes (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402800;422800;0;0;0;0
Agdenes;1622 Agdenes (-2017);All ages;Average Gross income;168400;181500;193800;206600;200700;209300;242000;240200;255500;276100;273500;287700;305900;323500;339300;349100;358500;371800;384100;0;0;0;0;0;0
Ål;3043 Ål (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467500;507800;508800;522700
Ål;0619 Ål (-2019);All ages;Average Gross income;192100;211500;216400;232000;235300;240900;276700;260200;286100;306100;309100;324000;337800;347800;359700;377000;410500;409100;427700;438900;457900;0;0;0;0
Ål;3328 Ål;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ålesund;1501 Ålesund (-1976);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ålesund;1504 Ålesund (1977-2019);All ages;Average Gross income;225100;249900;249100;265900;286800;287700;326300;294500;330100;354700;356400;367300;388800;399100;415900;426600;442600;440000;457000;474000;490100;0;0;0;0
Ålesund;1507 Ålesund (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;490800;539500;545600;582600
Ålesund;1508 Ålesund;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alstahaug;1820 Alstahaug;All ages;Average Gross income;193100;199800;215700;226100;232800;236300;250100;255100;280700;305500;310700;327900;341700;357000;370900;376900;392500;395500;406300;425600;443700;452800;488000;499300;537600
Alta;5601 Alta;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alta;5403 Alta (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475400;505900;530900;557800
Alta;2012 Alta (-2019);All ages;Average Gross income;197300;209700;221200;234000;244600;249100;267400;271600;292600;314100;320600;334300;352800;360600;371700;385400;402600;411600;426100;443100;460300;0;0;0;0
Alvdal;3428 Alvdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453200;476600;494000;523200
Alvdal;0438 Alvdal (-2019);All ages;Average Gross income;191100;203600;211700;223800;231100;233800;247400;250100;272500;291900;295100;306700;320500;339900;353100;362500;378000;395200;398900;413800;433800;0;0;0;0
Alver;4631 Alver;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475700;509700;529600;563200
Åmli;4217 Åmli;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425800;477700;479200;500800
Åmli;0929 Åmli (-2019);All ages;Average Gross income;184900;188600;192000;203000;203100;206300;231000;235400;255700;276800;286800;293800;315000;324900;332700;357600;386500;371600;405700;393200;413700;0;0;0;0
Åmot;3422 Åmot;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409300;432800;500300;522800
Åmot;0429 Åmot (-2019);All ages;Average Gross income;181200;191200;205500;214300;221700;238200;249200;250600;274700;291000;297100;302700;321100;345500;345200;359500;367100;371100;374600;389600;403100;0;0;0;0
Andebu;0719 Andebu (-2016);All ages;Average Gross income;200200;214900;222000;235900;246000;248400;270700;265800;293600;322700;319500;328300;342100;353600;367400;375300;393300;406800;0;0;0;0;0;0;0
Andøy;1871 Andøy;All ages;Average Gross income;189700;199600;212500;224800;227900;230300;251800;259900;278500;299200;313100;318900;341300;350700;358000;371700;381000;386700;424700;414500;441400;460700;488600;518900;545100
Ankenes;1855 Ankenes (-1973);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Årdal;4643 Årdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496100;525600;544500;585300
Årdal;1424 Årdal (-2019);All ages;Average Gross income;227800;239500;251600;265500;282300;280300;293300;297400;320200;350100;358400;364600;376700;384800;384200;396900;414000;424900;442900;467900;489000;0;0;0;0
Aremark;3124 Aremark;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aremark;3012 Aremark (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438900;504800;483900;516500
Aremark;0118 Aremark (-2019);All ages;Average Gross income;404400;310800;216700;239500;240000;258900;360600;302900;309200;307900;308800;321500;352500;344600;347300;371100;392700;398700;408100;422700;434200;0;0;0;0
Arendal;4203 Arendal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455700;491400;502800;534200
Arendal;0903 Arendal (-1991);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arendal;0906 Arendal (1992-2019);All ages;Average Gross income;205300;217800;228900;242800;254000;256800;278500;276200;301300;327900;332100;338900;353900;369000;384100;394000;411300;410700;417100;429500;441600;0;0;0;0
Arna;1250 Arna (1964-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ås;3218 Ås;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ås;3021 Ås (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;479400;517900;529000;553500
Ås;0214 Ås (-2019);All ages;Average Gross income;241700;253600;263700;279400;286400;288200;307600;304500;329200;348900;346100;355200;371300;384000;405800;417200;427400;434300;453500;448100;461300;0;0;0;0
Åsane;1255 Åsane (-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Åseral;4224 Åseral;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450000;508300;516900;546500
Åseral;1026 Åseral (-2019);All ages;Average Gross income;184200;192300;209300;220000;218900;229500;258100;255400;294300;318300;334500;336000;345400;355000;368200;374100;377700;379500;406900;415400;439900;0;0;0;0
Asker;3203 Asker;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asker;3025 Asker (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;602100;674800;662900;702400
