HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Anmält till,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Skadeorsak,Skadeorsak art,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (original),Öst (original),Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Senast sparad av,Döda under 1 år Hona,Döda under 1 år Hane,Döda under 1 år Okänt,Döda 1 till 2 år Hona,Döda 1 till 2 år Hane,Döda 1 till 2 år Okänt,Döda över 2 år Hona,Döda över 2 år Hane,Döda över 2 år Okänt,Döda körren,Skadade under 1 år Hona,Skadade under 1 år Hane,Skadade under 1 år Okänt,Skadade 1 till 2 år Hona,Skadade 1 till 2 år Hane,Skadade 1 till 2 år Okänt,Skadade över 2 år Hona,Skadade över 2 år Hane,Skadade över 2 år Okänt,Skadade körren,Saknade under 1 år Hona,Saknade under 1 år Hane,Saknade under 1 år Okänt,Saknade 1 till 2 år Hona,Saknade 1 till 2 år Hane,Saknade 1 till 2 år Okänt,Saknade över 2 år Hona,Saknade över 2 år Hane,Saknade över 2 år Okänt,Saknade körren,Skadeomfattning antal (inte djur),Akutåtgärder vidtagna,Akutåtgärdtyp,Akutåtgärdtyp annat,Kommunenummer,Kommune,Fylkenummer,Fylke,Number of injured or killed or missing sheep,Year
V483704,,1995.10.01,Ja,1995.10.01,,,Får,,,,1995.10.01,1995.10.01,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2023,Kråkbrickan,6777500,1346000,6773789,389471,6777500,1346000,RT90,Mindre bra,1995.10.01,Nej,,Ja,2017.12.14,,,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,Historiska data - ej angivet,,,2-2023,Malung (S),2-20,Dalarnas län (S),15,1995
V484437,,1995.12.29,Ja,1995.12.30,,,Får,,Annan,Lantras,1995.12.28,1995.12.29,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1081,Hjortabråne,6236000,1462000,6233985,511911,6236000,1462000,RT90,Mindre bra,1995.12.30,Nej,,Ja,2017.12.14,,,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1081,Ronneby (S),2-10,Blekinge län (S),5,1995
V484188,,1999.08.25,Ja,1999.08.26,,,Får,,Annan,Svensk lantras,1999.08.25,1999.08.25,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2085,"Stockgropen, Gagnef",6696800,1459400,6694526,503798,6696800,1459400,RT90,Mindre bra,1999.08.26,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2085,Ludvika (S),2-20,Dalarnas län (S),1,1999
V483561,,1999.09.15,Ja,1999.09.15,,,Får,,,,1999.09.13,1999.09.15,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2085,No. Stockgropen,6696400,1459500,6694127,503903,6696400,1459500,RT90,Mindre bra,1999.09.15,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Historiska data - ej angivet,,,2-2085,Ludvika (S),2-20,Dalarnas län (S),9,1999
V480048,,1999.09.28,Ja,1999.09.29,,,Får,,Annan,Gute,1999.09.27,1999.09.28,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0331,Sälja,6683800,1564200,6682813,608710,6683800,1564200,RT90,Mindre bra,1999.09.29,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0331,Heby (S),2-03,Uppsala län (S),1,1999
V484105,,1999.10.04,Ja,1999.10.04,,,Får,,,,1999.10.03,1999.10.04,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-2305,Grimnäs,6973600,1472600,6971352,513566,6973600,1472600,RT90,Mindre bra,1999.10.04,Nej,,Ja,2017.12.14,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2305,Bräcke (S),2-23,Jämtlands län (S),2,1999
V484609,,1999.10.26,Ja,1999.10.26,,,Får,,Annan,Gute korsning,1999.10.25,1999.10.26,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0331,Sälja,6683400,1564200,6682413,608715,6683400,1564200,RT90,Mindre bra,1999.10.26,Nej,,Ja,2017.12.14,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0331,Heby (S),2-03,Uppsala län (S),4,1999
V480047,,1999.11.14,Ja,1999.11.26,,,Får,,Annan,Gute korsning,1999.11.13,1999.11.14,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0331,Sälja,6683400,1564200,6682413,608715,6683400,1564200,RT90,Mindre bra,1999.11.26,Nej,,Ja,2017.12.14,,,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0331,Heby (S),2-03,Uppsala län (S),4,1999
V484101,,2000.06.05,Ja,2000.06.06,,,Får,,,,2000.06.03,2000.06.05,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2361,Morvallen,6946800,1375200,6943348,416553,6946800,1375200,RT90,Mindre bra,2000.06.06,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Historiska data - ej angivet,,,2-2361,Härjedalen (S),2-23,Jämtlands län (S),3,2000
V483552,,2000.07.05,Ja,2000.07.05,,,Får,,Annan,Dala pälsfår,2000.07.05,2000.07.05,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-2023,"Bu, öster om gården",6755200,1369500,6751791,413231,6755200,1369500,RT90,Mindre bra,2000.07.05,Nej,,Ja,2017.12.14,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2023,Malung (S),2-20,Dalarnas län (S),1,2000
V483731,,2001.08.27,Ja,2001.08.28,,,Får,,Annan,Rya,2001.08.27,2001.08.27,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-2085,Låsen,6676180,1427467,6673526,472133,6676180,1427467,RT90,Mindre bra,2001.08.28,Nej,,Ja,2017.12.14,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2085,Ludvika (S),2-20,Dalarnas län (S),1,2001
V483794,,2001.08.28,Ja,2001.08.29,,,Får,,Annan,Svensk Lantras,2001.08.12,2001.08.28,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2021,Brudskogens fäbod,6696400,1401250,6693415,445684,6696400,1401250,RT90,Mindre bra,2001.08.29,Nej,,Ja,2017.12.14,,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,3,0,0,0,0,Historiska data - ej angivet,,,2-2021,Vansbro (S),2-20,Dalarnas län (S),14,2001
V484010,,2001.09.15,Ja,2001.09.15,,,Får,,,,2001.09.14,2001.09.15,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1492,Strand,6559000,1308000,6554966,354161,6559000,1308000,RT90,Mindre bra,2001.09.15,Nej,,Ja,2017.12.14,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1492,Åmål (S),2-14,Västra Götalands län (S),1,2001
V484422,,2001.09.23,Ja,2001.09.25,,,Får,,,,2001.09.22,2001.09.23,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0382,Charlottendal,6668625,1634712,6668504,679383,6668625,1634712,RT90,Mindre bra,2001.09.25,Nej,,Ja,2017.12.14,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0382,Östhammar (S),2-03,Uppsala län (S),3,2001
V484014,,2001.10.07,Ja,2002.10.10,,,Får,,Annan,Texel x finull,2001.10.06,2001.10.07,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1440,Nödinge,6420093,1275897,6415770,323747,6420093,1275897,RT90,Mindre bra,2002.10.10,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1440,Ale (S),2-14,Västra Götalands län (S),12,2001
V480015,,2002.01.31,Ja,2002.02.01,,,Får,,Annan,Pälsfår,2002.01.30,2002.01.31,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0562,Bete vi sjö,6534300,1493000,6532512,539354,6534300,1493000,RT90,Mindre bra,2002.02.01,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0562,Finspång (S),2-05,Östergötlands län (S),2,2002
V484424,,2002.04.16,Ja,2002.04.17,,,Får,,,,2002.04.16,2002.04.16,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1060,Olofström Skrubbeboda 1:6,6244235,1430645,6241849,480476,6244235,1430645,RT90,Mindre bra,2002.04.17,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1060,Olofström (S),2-10,Blekinge län (S),2,2002
V484430,,2002.05.11,Ja,2002.05.12,,,Får,,Annan,Rya och päls,2002.05.11,2002.05.11,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0360,Larsbo,6696737,1606612,6696263,650949,6696737,1606612,RT90,Mindre bra,2002.05.12,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0360,Tierp (S),2-03,Uppsala län (S),1,2002
V480086,,2002.05.13,Ja,2002.05.13,,,Får,,Annan,Pälsfår,2002.05.13,2002.05.13,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0582,Bete intill ladugård,6464000,1552400,6462955,599573,6464000,1552400,RT90,Mindre bra,2002.05.13,Nej,,Ja,2017.12.14,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0582,Söderköping (S),2-05,Östergötlands län (S),2,2002
V484560,,2002.05.15,Ja,2002.05.16,,,Får,,Annan,Blandras,2002.05.14,2002.05.15,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0582,Bete på gårdsplan,6472700,1548400,6471604,595471,6472700,1548400,RT90,Mindre bra,2002.05.16,Nej,,Ja,2017.12.14,,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0582,Söderköping (S),2-05,Östergötlands län (S),6,2002
V480014,,2002.05.17,Ja,2002.05.19,,,Får,,Annan,Oxford Down,2002.05.16,2002.05.17,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0581,Bete i trädgård,6480500,1545200,6479362,592179,6480500,1545200,RT90,Mindre bra,2002.05.19,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0581,Norrköping (S),2-05,Östergötlands län (S),3,2002
V484350,,2002.05.19,Ja,2004.02.26,,,Får,,,,2002.05.18,2002.05.19,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1484,Brastad,6483200,1248300,6478501,295415,6483200,1248300,RT90,Mindre bra,2004.02.26,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1484,Lysekil (S),2-14,Västra Götalands län (S),1,2002
V484432,,2002.05.20,Ja,2002.05.20,,,Får,,Annan,Finull och bladras,2002.05.19,2002.05.20,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0382,Skållbo,6692362,1620350,6692058,664736,6692362,1620350,RT90,Mindre bra,2002.05.20,Nej,,Ja,2017.12.14,,,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,4,3,0,0,0,0,2,0,0,0,0,Historiska data - ej angivet,,,2-0382,Östhammar (S),2-03,Uppsala län (S),17,2002
V484409,,2002.06.01,Ja,2002.08.18,,,Får,,Annan,Pälsfår,2002.05.31,2002.06.01,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1435,Älgemon,6525700,1262900,6521146,309494,6525700,1262900,RT90,Mindre bra,2002.08.18,Nej,,Ja,2017.12.14,,,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,Historiska data - ej angivet,,,2-1435,Tanum (S),2-14,Västra Götalands län (S),11,2002
V484287,,2002.06.03,Ja,2002.06.27,,,Får,,,,2002.06.02,2002.06.03,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0360,Larsbo,6696824,1606587,6696350,650923,6696824,1606587,RT90,Mindre bra,2002.06.27,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0360,Tierp (S),2-03,Uppsala län (S),1,2002
V484433,,2002.06.03,Ja,2002.06.03,,,Får,,,,2002.06.02,2002.06.03,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0360,Larsbo,6696824,1606587,6696350,650923,6696824,1606587,RT90,Mindre bra,2002.06.03,Nej,,Ja,2017.12.14,,,9,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0360,Tierp (S),2-03,Uppsala län (S),17,2002
V484442,,2002.06.25,Ja,2002.06.26,,,Får,,,,2002.06.24,2002.06.25,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-1080,Torhamns udde,6216850,1502435,6215317,552551,6216850,1502435,RT90,Mindre bra,2002.06.26,Nej,,Ja,2017.12.14,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1080,Karlskrona (S),2-10,Blekinge län (S),3,2002
V484277,,2002.06.26,Ja,2002.06.26,,,Får,,,,2002.06.24,2002.06.26,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1080,Torhamns udde,6228000,1494000,6226363,543990,6228000,1494000,RT90,Mindre bra,2002.06.26,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1080,Karlskrona (S),2-10,Blekinge län (S),1,2002
V484288,,2002.07.01,Ja,2002.07.01,,,Får,,,,2002.06.30,2002.07.01,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0382,Skållbo,6692437,1620312,6692132,664697,6692437,1620312,RT90,Mindre bra,2002.07.01,Nej,,Ja,2017.12.14,,,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0382,Östhammar (S),2-03,Uppsala län (S),9,2002
V484007,,2002.07.03,Ja,2002.08.16,,,Får,,Annan,Oxrördan/Texel,2002.07.02,2002.08.03,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-1438,Törmon,6536000,1264000,6531451,310469,6536000,1264000,RT90,Mindre bra,2002.08.16,Nej,,Ja,2017.12.14,,,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1438,Dals-Ed (S),2-14,Västra Götalands län (S),9,2002
V484280,,2002.07.03,Ja,2002.07.04,,,Får,,Annan,Gute,2002.07.02,2002.07.03,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-1080,Stubbemåla 1:3,6239620,1515381,6238228,565225,6239620,1515381,RT90,Mindre bra,2002.07.04,Nej,,Ja,2017.12.14,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1080,Karlskrona (S),2-10,Blekinge län (S),3,2002
V480010,,2002.07.26,Ja,2002.07.26,,,Får,,Annan,Blandras,2002.07.25,2002.07.26,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0581,Bete vid gården,6486500,1539200,6485288,586109,6486500,1539200,RT90,Mindre bra,2002.07.26,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0581,Norrköping (S),2-05,Östergötlands län (S),5,2002
V480009,,2002.07.27,Ja,2002.07.27,,,Får,,Annan,Blandras,2002.07.26,2002.07.27,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Bedömd som säker,2-0581,Bete vid gården,6486400,1541100,6485211,588009,6486400,1541100,RT90,Mindre bra,2002.07.27,Nej,,Ja,2017.12.14,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Historiska data - ej angivet,,,2-0581,Norrköping (S),2-05,Östergötlands län (S),2,2002
