id_unique,pop_size_territories,both_disapp,population_analysis,territory_analysis,individual_analysis,fate,fate_detailed,wolf_id,sex,country,territory,territory_winter,Y_coordinate,X_coordinate,autumn,spring,slu_id,ruggedness,paved,gravel,snow_cover,human_density,municipality_name,municipality_id,moose_harvest_density,bear_density_shot,bear_density_live,night_light,elevation_mean,elevation_stdv,birth_territory,inbreeding,number_neighbour_terr
1,31,,,0,0,alive,,M-06-09,F,S,Aamäck 1,Aamäck_0607,6668635,1399382,2006,2007,M-06-09,4.7683,0.26,0.98,77.81538462,7.96,Filipstad,1782,3.6569,0,0.0073,0.0363,299.3507981,60.25855152,Grä1,0.26757799999999998,2
2,31,,,,,alive,,M-09-16,M,S,Aamäck 1,Aamäck_0607,6668635,1399382,2006,2007,M-09-16,4.7683,0.26,0.98,77.81538462,7.96,Filipstad,1782,3.6569,0,0.0073,0.0363,299.3507981,60.25855152,Ny5,0.26953100000000002,2
3,37,,,0,0,alive,,M-06-09,F,S,Aamäck 1,Aamäck_0708,6665515,1402834,2007,2008,M-06-09,4.8711,0.25,1,80.18229167,8.5,Filipstad,1782,3.387,0,0.0051,0.1676,299.7508763,56.44393264,Grä1,0.26757799999999998,3
4,37,,,,,alive,,M-09-16,M,S,Aamäck 1,Aamäck_0708,6665515,1402834,2007,2008,M-09-16,4.8711,0.25,1,80.18229167,8.5,Filipstad,1782,3.387,0,0.0051,0.1676,299.7508763,56.44393264,Ny5,0.26953100000000002,3
5,39,,,0,0,alive,,M-06-09,F,S,Aamäck 1,Aamäck_0809,6671702,1404740,2008,2009,M-06-09,4.8671,0.24,0.98,83.62239583,8.78,Filipstad,1782,2.8624,0.0001,0.0527,0.059,322.4533335,67.39419267,Grä1,0.26757799999999998,3
6,39,,,,,alive,,M-09-16,M,S,Aamäck 1,Aamäck_0809,6671702,1404740,2008,2009,M-09-16,4.8671,0.24,0.98,83.62239583,8.78,Filipstad,1782,2.8624,0.0001,0.0527,0.059,322.4533335,67.39419267,Ny5,0.26953100000000002,3
7,49,,,0,0,alive,,M-06-09,F,S,Aamäck 1,Aamäck_0910,6672938,1406833,2009,2010,M-06-09,4.8782,0.23,0.98,82.51025641,9.17,Filipstad,1782,2.9461,0.0001,0.0522,0.1083,332.1062869,65.54898469,Grä1,0.26757799999999998,3
8,49,,,,,alive,,M-09-16,M,S,Aamäck 1,Aamäck_0910,6672938,1406833,2009,2010,M-09-16,4.8782,0.23,0.98,82.51025641,9.17,Filipstad,1782,2.9461,0.0001,0.0522,0.1083,332.1062869,65.54898469,Ny5,0.26953100000000002,3
9,58,,1,1,1,disapp,,M-06-09,F,S,Aamäck 1,Aamäck_1011,6674717,1408846,2010,2011,M-06-09,4.9234,0.23,0.98,82.10353535,9.41,Filipstad,1782,2.9496,0.0002,0.0605,0.1507,340.7728701,64.65941419,Grä1,0.26757799999999998,2
10,58,,,,,other,NA - check if available,M-09-16,M,S,Aamäck 1,Aamäck_1011,6674717,1408846,2010,2011,M-09-16,4.9234,0.23,0.98,82.10353535,9.41,Filipstad,1782,2.9496,0.0002,0.0605,0.1507,340.7728701,64.65941419,Ny5,0.26953100000000002,2
11,60,,,0,0,alive,,G45-12,M,S,Aamäck 2,Aamäck_1112,6674686,1402684,2011,2012,G45-12,4.848,0.22,0.96,79.86616162,8.01,Filipstad,1782,3.1175,0.0002,0.0583,0,327.7604293,69.63947889,Sku,0.15216099999999999,4
12,60,,,,0,alive,,G44-12,F,S,Aamäck 2,Aamäck_1112,6674686,1402684,2011,2012,G44-12,4.848,0.22,0.96,79.86616162,8.01,Filipstad,1782,3.1175,0.0002,0.0583,0,327.7604293,69.63947889,Klot,0.29931600000000003,4
13,64,,1,1,1,disapp,,G45-12,M,S,Aamäck 2,Aamäkk_1213,6675943,1399203,2012,2013,G45-12,4.7482,0.23,0.95,80.74739583,7.14,Filipstad,1782,3.1558,0.0001,0.0227,0,322.4406133,70.0924162,Sku,0.15216099999999999,3
14,64,,,,0,alive,,G44-12,F,S,Aamäck 2,Aamäkk_1213,6675943,1399203,2012,2013,G44-12,4.7482,0.23,0.95,80.74739583,7.14,Filipstad,1782,3.1558,0.0001,0.0227,0,322.4406133,70.0924162,Klot,0.29931600000000003,3
15,66,1,,,1,disapp,confirmed_illegal,G106-13,M,S,Aamäck 3,Aamäkk_1314,6680346,1403653,2013,2014,G106-13,5.0107,0.22,0.98,76.26421737,7.4,Filipstad,1782,2.6548,0.0004,0.1356,0,349.7953503,68.28367356,Jang6,0.16552700000000001,3
16,66,1,1,1,1,disapp,confirmed_illegal,G44-12,F,S,Aamäck 3,Aamäkk_1314,6680346,1403653,2013,2014,G44-12,5.0107,0.22,0.98,76.26421737,7.4,Filipstad,1782,2.6548,0.0004,0.1356,0,349.7953503,68.28367356,Klot,0.29931600000000003,3
17,68,,,,0,alive,,G71-13,F,S,Aamäck 4,Aamäkk_1415,6674642,1398431,2014,2015,G71-13,4.7229,0.25,0.95,87.41904762,7.12,Filipstad,1782,2.46,0.0002,0.0861,0.0039,315.1826072,68.58411807,Snd3,0.21491199999999999,3
18,68,,,0,0,alive,,G8-14,M,S,Aamäck 4,Aamäkk_1415,6674642,1398431,2014,2015,G8-14,4.7229,0.25,0.95,87.41904762,7.12,Filipstad,1782,2.46,0.0002,0.0861,0.0039,315.1826072,68.58411807,Vis1,0.21495400000000001,3
19,70,,,,0,alive,,G71-13,F,S,Aamäck 4,Aamäkk_1516,6672477,1398313,2015,2016,G71-13,4.7739,0.26,0.98,71.12063492,7.29,Filipstad,1782,2.0176,0.0002,0.0624,0.0207,307.6300034,65.11467192,Snd3,0.21491199999999999,5
20,70,,,0,0,alive,,G8-14,M,S,Aamäck 4,Aamäkk_1516,6672477,1398313,2015,2016,G8-14,4.7739,0.26,0.98,71.12063492,7.29,Filipstad,1782,2.0176,0.0002,0.0624,0.0207,307.6300034,65.11467192,Vis1,0.21495400000000001,5
