monitoring_season_autumn;monitoring_season_spring;monitoring_season;year;wolfPopSize_correcteddata;wolfPopSize_NOTcorrecteddata_from_annual_reports
1998;1999;1998_1999;1998;10;10
1999;2000;1999_2000;1999;13;13
2000;2001;2000_2001;2000;16;16
2001;2002;2001_2002;2001;17;16
2002;2003;2002_2003;2002;17;17
2003;2004;2003_2004;2003;22;22
2004;2005;2004_2005;2004;29;28
2005;2006;2005_2006;2005;29;29
2006;2007;2006_2007;2006;31;31
2007;2008;2007_2008;2007;39;37
2008;2009;2008_2009;2008;42;39
2009;2010;2009_2010;2009;53;49
2010;2011;2010_2011;2010;60;58
2011;2012;2011_2012;2011;65;60
2012;2013;2012_2013;2012;64;64
2013;2014;2013_2014;2013;68;66
2014;2015;2014_2015;2014;69;68
2015;2016;2015_2016;2015;74;70
2016;2017;2016_2017;2016;77;74
2017;2018;2017_2018;2017;75;72
2018;2019;2018_2019;2018;71;68
2019;2020;2019_2020;2019;75;71
2020;2021;2020_2021;2020;80;75
2021;2022;2021_2022;2021;84;83
2022;2023;2022_2023;2022;85;85
